Organization Name,Organization Name URL,Stage,Industries,Headquarters Location,Description,CB Rank (Company),Headquarters Regions,Operating Status,Founded Date,Founded Date Precision,Exit Date,Exit Date Precision,Closed Date,Closed Date Precision,Company Type,Website,Full Description,Investment Stage,Investor Type,Primary Industry,Primary Industry URL,Industry Groups,Founders,Number of Funding Rounds,Funding Status,Last Funding Date,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount (in USD),Last Funding Type,Last Equity Funding Amount,Last Equity Funding Amount Currency,Last Equity Funding Amount (in USD),Last Equity Funding Type,Total Equity Funding Amount,Total Equity Funding Amount Currency,Total Equity Funding Amount (in USD),Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Top 5 Investors,Lead Investors,Number of Lead Investors,Number of Investors
OHB System,https://www.crunchbase.com/organization/ohb-system,,"CRM, Information Technology, Software","Bremen, Bremen, Germany",OHB System AG is one of the 3 major space systems companies in Europe.,"1,711,625","European Union (EU), Europe, Middle East, and Africa (EMEA)",Active,1981-01-01,year,2001-03-13,day,,,For Profit,https://www.ohb.de,"OHB System is a German space and technology group that holds a prominent position in the European space industry. With extensive experience in executing complex projects, OHB Systems competes globally and delivers a diverse range of products across its three key segments: SPACE SYSTEMS, AEROSPACE, and DIGITAL. This enables OHB SE to cater to the evolving needs of its customers with excellence and reliability.",,,,,"Information Technology, Sales and Marketing, Software",Manfred Fuchs,1,IPO,2023-08-07,,,,Post-IPO Equity,,,,Post-IPO Equity,,,,,,,Kohlberg Kravis Roberts & Co.,Kohlberg Kravis Roberts & Co.,1,1
HENSOLDT Analytics,https://www.crunchbase.com/organization/hensoldt-analytics,,"Analytics, Software","Vienna, Wien, Austria","HENSOLDT Analytics provides Open Source Intelligence systems, Automatic Speech Recognition, media monitoring, and analysis.","1,737,745","European Union (EU), Europe, Middle East, and Africa (EMEA)",Active,1999-01-01,year,,,,,For Profit,http://www.hensoldt-analytics.com,,,,,,"Data and Analytics, Software",,,,,,,,,,,,,,,,,,,,,,
PI Ceramic,https://www.crunchbase.com/organization/pi-ceramic,,"Building Maintenance, Construction, Manufacturing","Lederhose, Thuringen, Germany",PI Ceramic GmbH is building an extension for production and office space at its location in Lederhose.,"1,755,910","European Union (EU), Europe, Middle East, and Africa (EMEA)",Active,1992-01-01,day,,,,,For Profit,http://www.piceramic.com/,,,,,,"Manufacturing, Real Estate",,,,,,,,,,,,,,,,,,,,,,
Aselsan A.S.,https://www.crunchbase.com/organization/aselsan-a-s,,Information Technology,"Yenimahalle, Ankara, Turkey",ASELSAN is a defense electronics company that offers technological services.,"1,776,269","Europe, Middle East, and Africa (EMEA), Middle East, Middle East and North Africa (MENA)",Active,1975-01-01,year,1990-08-01,day,,,For Profit,http://www.aselsan.com.tr/en-us/Pages/default.aspx,"ASELSAN provides products that include communication and information technologies, radar and electronic warfare, electro-optics, avionics, unmanned systems, land, naval and weapon systems, air defence and missile systems, command and control systems, transportation, security, traffic, automation, and medical systems.",,,,,Information Technology,Prof.Dr.Haluk Gorgun,,IPO,,,,,,,,,,,,,,,,,,,
Deep Blue,https://www.crunchbase.com/organization/deep-blue-a5b9,,"Animation, Art, Media and Entertainment","Warsaw, Mazowieckie, Poland","Deep Blue is a digital art, animation, and cinematics company offering 3D animation, 2D animation, paralax animation, and visual effects.","1,849,492","European Union (EU), Europe, Middle East, and Africa (EMEA)",Active,2017-01-01,year,,,,,For Profit,https://www.deep-blue.com,,,,,,"Media and Entertainment, Video",,,,,,,,,,,,,,,,,,,,,,
mindconsole,https://www.crunchbase.com/organization/mindconsole,,"Advertising, Animation, Broadcasting, Film Production","Graz, Steiermark, Austria",mindconsole is a broadcasting and media production company.,"1,883,162","European Union (EU), Europe, Middle East, and Africa (EMEA)",Active,2009-01-01,year,,,,,For Profit,https://mindconsole.net,"Mindconsole produces films, creatives, marketers, cinematographers, motion designers, and directors. In addition to shooting, editing, animation, and development, they also provide in-house production and post-production services. Making their brand and needs concrete through creative ideas, kicking-starting the storytelling process, and creating a tailored concept.",,,,,"Advertising, Media and Entertainment, Sales and Marketing, Video",,,,,,,,,,,,,,,,,,,,,,
Raytheon Missile Systems,https://www.crunchbase.com/organization/raytheon-missile-systems,,"Manufacturing, National Security","Tucson, Arizona, United States",Raytheon Missile Systems Company engages in the development and production of missile systems for the armed forces.,"1,898,322",Western US,Active,2020-01-01,year,,,,,For Profit,https://www.rtx.com/raytheon/,,,,,,"Government and Military, Manufacturing",,,,,,,,,,,,,,,,,,,,,,
CRIS Pharma,https://www.crunchbase.com/organization/cris-pharma,,"Pharmaceutical, Product Research","Saint-malo, Bretagne, France",C.RIS Pharma is a french contract research organization.,"1,915,509","European Union (EU), Europe, Middle East, and Africa (EMEA)",Active,2004-01-01,day,,,,,For Profit,http://www.c-rispharma.com,,,,,,"Data and Analytics, Design, Health Care",,,,,,,,,,,,,,,,,,,,,,
Alcoa Warrick,https://www.crunchbase.com/organization/alcoa-warrick-operations,,"Mining, Power Grid, Precious Metals","Newburgh, Indiana, United States",Alcoa Warrick is one of the producers of aluminum sheet for the food and beverage industry.,"1,973,894","Great Lakes, Midwestern US",Active,1886-01-01,year,2020-11-30,day,,,For Profit,https://www.alcoa.com/,Alcoa Warrick is one of the producers of aluminum sheet for the food and beverage industry.,,,,,"Energy, Natural Resources",,,M&A,,,,,,,,,,,,,,,,,,,
Telefonica Ingenieria de Seguridad,https://www.crunchbase.com/organization/telefonica-ingenieria-de-seguridad,,,"Humanes De Madrid, Madrid, Spain",Telefónica is a telecommunication company that specializes in sector solution and smart security solution,"2,053,471","European Union (EU), Europe, Middle East, and Africa (EMEA)",Active,1924-01-01,year,,,,,For Profit,http://ingenieriadeseguridad.telefonica.com/en/,,,,,,,,,,,,,,,,,,,,,,,,,,,,
develogic,https://www.crunchbase.com/organization/develogic,,"Manufacturing, Marine Technology","Hamburg, Hamburg, Germany",develogic is developing and manufacturing turn key customized data acquisition and telemetry solutions for marine monitoring applications.,"2,084,425","European Union (EU), Europe, Middle East, and Africa (EMEA)",Active,2000-01-01,day,,,,,For Profit,http://www.develogic.de/,,,,,,"Manufacturing, Science and Engineering",,,,,,,,,,,,,,,,,,,,,,
Enersec,https://www.crunchbase.com/organization/enersec,,Cyber Security,"Bucharest, Bucuresti, Romania","Cybersecurity company covering EU&UAE, building a Security Operation Center aaS for consumer IoT","2,138,038","European Union (EU), Europe, Middle East, and Africa (EMEA)",Active,2013-10-31,day,,,,,For Profit,http://www.enersec.net,,,,,,"Information Technology, Privacy and Security",,1,,2020-06-01,,,,Grant,,,,,,,,,,,InnovX,,,1
UACJ,https://www.crunchbase.com/organization/uacj,,"Industrial, Manufacturing","Otemachi, Tokyo, Japan",UACJ is a manufacturer and seller of aluminum rolled products.,"2,175,049",Asia-Pacific (APAC),Active,1964-12-10,day,2005-12-02,day,,,For Profit,https://www.uacj.co.jp/,"UACJ manufactures aluminum rolled products, including rolled plate products, foil products, extruded products, cast products, and forged products of aluminum and copper products including alloys, copper pipes, copper alloy pipes, and their joints.",,,,,Manufacturing,,,IPO,,,,,,,,,,,,,,,,,,,
Ulpower Aero Engines,https://www.crunchbase.com/organization/ulpower-aero-engines,,"Aerospace, Industrial, Manufacturing, Mechanical Engineering, Technical Support","Ieper, West-Vlaanderen, Belgium",ULPower Aero Engines designs and manufactures light aircraft piston engines and related installation and maintenance kits.,"2,188,483","European Union (EU), Europe, Middle East, and Africa (EMEA)",Active,2006-01-01,year,,,,,For Profit,https://www.ulpower.com,"ULPower Aero Engines designs and manufactures air-cooled piston engines for light aircraft, including the UL260, UL350, UL390, UL520 and UL520T series. The company focuses on direct-drive engines with electronic engine management and multi-point fuel injection. It supplies installation, maintenance and troubleshooting manuals, as well as illustrated parts catalogues for each engine type. ULPower also offers accessory kits such as oil cooler kits, fuel connection kits, additional fuel pump kits, air inlet boxes, sensor kits and maintenance kits to support installation and service.",,,,,"Information Technology, Manufacturing, Other, Science and Engineering",,,,,,,,,,,,,,,,,,,,,,
Stanmore Resources,https://www.crunchbase.com/organization/stanmore-resources,,"Mining, Mining Technology, Natural Resources","Brisbane, Queensland, Australia",Stanmore Resources is an Australian resources company with operations and exploration projects.,"2,197,627","Asia-Pacific (APAC), Australasia",Active,,,2009-12-11,day,,,For Profit,https://stanmore.net.au,"Stanmore Resources is an Australian mining company with operations and exploration projects in the Bowen and Surat basins. It is one of the country's largest suppliers of metallurgical coal, with key assets including the South Walker Creek, Poitrel, and Isaac Plains Complex mines. The company focuses on sustainable development, producing coal for steelmaking.",,,,,"Natural Resources, Sustainability",,,IPO,,,,,,,,,,,,,,,,,,,
Naval,https://www.crunchbase.com/organization/naval-71ea,,"Industrial, Manufacturing, Mechanical Engineering","Água Branca, Sao Paulo, Brazil",Naval is a manufacturer of industrial valves for the transport and storage of dangerous gases.,"2,245,242",Latin America,Active,1995-01-01,year,,,,,For Profit,https://www.navalvalvulas.com.br,,,,,,"Manufacturing, Science and Engineering",,,,,,,,,,,,,,,,,,,,,,
Neovirtech,https://www.crunchbase.com/organization/neovirtech,,"Biotechnology, Pharmaceutical, Test and Measurement","Toulouse, Midi-Pyrenees, France","Neovirtech specializes in imaging with autofluorescent viruses, antiviral discovery, and evaluation of viral inactivation methods.","2,248,000","European Union (EU), Europe, Middle East, and Africa (EMEA)",Active,2014-01-01,year,,,,,For Profit,https://neovirtech.com/,,,,,,"Biotechnology, Data and Analytics, Health Care, Science and Engineering",Franck Gallardo,,,,,,,,,,,,,,,,,,,,,
Italwatt,https://www.crunchbase.com/organization/italwatt,,"Electronics, Lighting, Manufacturing","Leinì, Piemonte, Italy",Italwatt specializes in designing and manufacturing automotive electronics.,"2,326,485","European Union (EU), Europe, Middle East, and Africa (EMEA)",Active,1988-01-01,year,,,,,For Profit,https://www.italwatt.it,,,,,,"Consumer Electronics, Hardware, Manufacturing",Luca Luigi Ciaudano,,,,,,,,,,,,,,,,,,,,,
Labrador Iron Ore Royalty,https://www.crunchbase.com/organization/labrador-iron-ore-royalty,,"Mineral, Mining","Toronto, Ontario, Canada",Labrador Iron Ore Royalty produces and exports iron ore pellets and concentrates.,"2,389,500",Great Lakes,Active,1995-01-01,day,2012-10-05,day,,,For Profit,http://www.labradorironore.com/,"Labrador Iron Ore Royalty manufactures and supplies seaborne iron ore pellets and also manages mining. Their iron ore products are produced, sold, and shipped by IOC.",,,,,Natural Resources,,,IPO,,,,,,,,,,,,,,,,,,,
Huta Stalowa Wola,https://www.crunchbase.com/organization/huta-stalowa-wola,,"Industrial, Industrial Engineering, Industrial Manufacturing","Stalowa Wola, Podkarpackie, Poland",Huta Stalowa Wola is a manufacturer of military equipment in the defense sector.,"2,458,978","European Union (EU), Europe, Middle East, and Africa (EMEA)",Active,1938-01-01,year,,,,,For Profit,https://www.hsw.pl,,,,,,"Manufacturing, Science and Engineering",,,,,,,,,,,,,,,,,,,,,,
Eight Bells,https://www.crunchbase.com/organization/eight-bells-10a2,,"Consulting, Information and Communications Technology (ICT), Information Technology","Strovolos, Nicosia, Cyprus","Eight Bells Ltd offers modelling, techno-economic studies, and ICT research including cloud, blockchain, and cybersecurity projects.","2,564,328","European Union (EU), Europe, Middle East, and Africa (EMEA), Middle East",Active,2016-01-01,year,,,,,For Profit,https://www.8bellsresearch.com,,,,,,"Information Technology, Professional Services",,,,,,,,,,,,,,,,,,,,,,
4C,https://www.crunchbase.com/organization/4c-cfee,,"Call Center, Digital Marketing, Graphic Design, Web Design","Abu Dhabi, Abu Dhabi, United Arab Emirates","4C specializes in digital marketing, graphic design, operation management, and web design services.","2,573,657","Europe, Middle East, and Africa (EMEA), Gulf Cooperation Council (GCC), Middle East",Active,,,,,,,For Profit,https://just4customers.com,,,,,,"Administrative Services, Design, Sales and Marketing",,,,,,,,,,,,,,,,,,,,,,
Thames Cryogenics,https://www.crunchbase.com/organization/thames-cryogenics,,"Industrial, Industrial Manufacturing, Manufacturing","Didcot, Oxfordshire, United Kingdom",Thames Cryogenics is a manufacturing and installation company for liquid nitrogen equipment for industrial sectors.,"2,576,470","Europe, Middle East, and Africa (EMEA)",Active,1985-01-01,year,,,,,For Profit,https://www.thamescryogenics.com,,,,,,Manufacturing,,,,,,,,,,,,,,,,,,,,,,
Inocon Technologie,https://www.crunchbase.com/organization/inocon-technologie,,"Industrial, Industrial Engineering, Machinery Manufacturing","Attnang-puchheim, Oberosterreich, Austria",INOCON Technologie GmbH develops industrial plants and specializes in plasma technology for automated processes.,"2,602,627","European Union (EU), Europe, Middle East, and Africa (EMEA)",Active,1994-01-01,year,,,,,For Profit,https://www.inocon.at,"INOCON Technologie GmbH specializes in the development and production of industrial plants, focusing on turnkey mixing facilities, enhancements, and conveying solutions for the bulk material sector. The company also holds numerous patents in plasma technology, including plasma hardnesses, plasma welding and brazing, and plasma coating. INOCON's expertise extends to automated, robot-assisted in-line processes, providing innovative solutions tailored to specific industrial needs.",,,,,"Manufacturing, Science and Engineering",,,,,,,,,,,,,,,,,,,,,,
GCL Technology,https://www.crunchbase.com/organization/gcl-technology,,"Manufacturing, Solar, Sustainability","Suzhou, Jiangsu, China","GCL Technology is a manufacturer of solar materials, focused on producing granular silicon using Fluidized Bed Reactor technology.","2,677,142",Asia-Pacific (APAC),Active,2006-01-01,year,,,,,For Profit,http://www.gcltech.com/,"GCL Technology is a manufacturer of solar materials, focused on producing granular silicon using Fluidized Bed Reactor technology. This method is designed to reduce production costs, energy use, and carbon emissions. The company received a carbon footprint certification in 2021 from ADEME, reporting 37.0 kg CO₂ equivalent per kg of granular silicon. It operates several facilities in China and supplies major solar materials manufacturers under long-term contracts.",,,,,"Energy, Manufacturing, Natural Resources, Sustainability",,,,,,,,,,,,,,,,,,,,,,
VECTED,https://www.crunchbase.com/organization/vected,,"Law Enforcement, Manufacturing, Military","Fürth, Bayern, Germany","VECTED provides thermal imaging devices,AI in thermal imaging,electronics modules, and optoelectronic solutions.","2,684,905","European Union (EU), Europe, Middle East, and Africa (EMEA)",Active,2012-01-01,year,,,,,For Profit,https://vected.de,,,,,,"Government and Military, Information Technology, Manufacturing, Privacy and Security",,,,,,,,,,,,,,,,,,,,,,
Isotta Fraschini Motori,https://www.crunchbase.com/organization/isotta-fraschini-motori,,"Industrial, Machinery Manufacturing, Manufacturing","Bari, Puglia, Italy","Isotta Fraschini Motori manufactures and develops engines, power packs, and generators, for industrial, civil, and military use.","2,720,919","European Union (EU), Europe, Middle East, and Africa (EMEA)",Active,1900-01-01,year,,,,,For Profit,http://www.isottafraschini.it,,,,,,Manufacturing,"Antonio Fraschini, Cesare Isotta, Oreste Fraschini, Vincenzo Fraschini",,,,,,,,,,,,,,,,,,,,,
Rheinmetall Landsysteme,https://www.crunchbase.com/organization/rheinmetall-landsysteme-gmbh,,"Automotive, Cyber Security, Information Technology, Manufacturing, Security","Düsseldorf, Nordrhein-Westfalen, Germany",Rheinmetall Landsysteme is supplier of defense and security technology.,"2,820,958","European Union (EU), Europe, Middle East, and Africa (EMEA)",Active,1889-01-01,year,,,,,For Profit,https://www.rheinmetall-defence.com,"Rheinmetall Landsysteme is supplier of defense and security technology. Rheinmetall provides system and subsystem solutions as well as a broad portfolio of services for capabilities in the areas of mobility, reconnaissance, command and control, C4I and protection. It also develops customized training and simulation solutions. Rheinmetall has many years of experience and innovation in armored vehicles, weapons and ammunition and in the areas of air defense and electronics – including serving the requirements of the navy and air force and for internal security. The company has five divisions-vehicle systems; weapon and ammunition; electronic solutions; sensors and actuators; and materials and trade. Rheinmetall also works intensively on drives for the electric, fuel-cell and hybrid vehicles of the future. This includes electric drive units comprising a motor and power electronics as well as complete and efficient thermal management modules.",,,,,"Information Technology, Manufacturing, Privacy and Security, Transportation",,,,,,,,,,,,,,,,,,,,,,
China Steel,https://www.crunchbase.com/organization/china-steel,,"Manufacturing, Precious Metals","Kaohsiung, T'ai-wan, Taiwan","China Steel is the integrated steel manufacturing company of products that includes plates, wire rods, bars, and etc.","2,877,369",Asia-Pacific (APAC),Active,1971-01-01,year,1974-12-26,day,,,For Profit,http://www.csc.com.tw,"China Steel Corporation (CSC), located at Kaohsiung, Taiwan, was founded in December 1971. With annual production (in terms of crude steel) around 10 million tonnes, CSC produces a range of products that includes plates, bars, wire rods, hot and cold rolled coils, electrogalvanized coils, electrical steel coils, hot-dip galvanized coils, and Ti/Ni-base alloy. The domestic market takes roughly 67% of CSC’s production and the exports take the remaining 33%. CSC is the largest steel company in Taiwan, enjoying more than 50% of the domestic market. Major export destinations are Mainland China, Japan and Southeast Asia. CSC is very active in innovation, and has strong capability to put the innovations into practice. The company’s vision is “We aspire to be a trustworthy steel company of global distinction that pursues growth, environmental protection, energy saving and value-innovation.” CSC actively puts into practice its corporate value of “teamwork, entrepreneurial approach, down-to-earthness and pursuit of innovation”, as well as its operation concepts of “promotion of social well-being, result orientation, implementation of teamwork, and emphasis on employees’ self-realization.” CSC keeps deepening the roots for its core business in steel, and is devoted to integrate the related downstream industries to foster healthy development and international competitiveness of Taiwan's steel related industry. Brief of China Steel Corporation China Steel Corporation (CSC), located at Kaohsiung, Taiwan, was founded in December 1971. With annual production (in terms of crude steel) around 10 million tonnes, CSC produces a range of products that includes plates, bars, wire rods, hot and cold rolled coils, electrogalvanized coils, electrical steel coils, hot-dip galvanized coils, and Ti/Ni-base alloy. The domestic market takes roughly 67% of CSC’s production and the exports take the remaining 33%. CSC is the largest steel company in Taiwan, enjoying more than 50% of the domestic market. Major export destinations are Mainland China, Japan and Southeast Asia. CSC is very active in innovation, and has strong capability to put the innovations into practice. The company’s vision is “We aspire to be a trustworthy steel company of global distinction that pursues growth, environmental protection, energy saving and value-innovation.” CSC actively puts into practice its corporate value of “teamwork, entrepreneurial approach, down-to-earthness and pursuit of innovation”, as well as its operation concepts of “promotion of social well-being, result orientation, implementation of teamwork, and emphasis on employees’ self-realization.” CSC keeps deepening the roots for its core business in steel, and is devoted to integrate the related downstream industries to foster healthy development and international competitiveness of Taiwan's steel related industry. CSC won the “National Quality Award” from the Executive Yuan (Cabinet) in 1991, the “Distinguished Innovation Accomplishment Award” from the Ministry of Economic Affairs in 2009, the only award of “Leading Company of Maintenance and Reliability KPIs Survey Project, 2013” from the World Steel Association, and was selected as the world steel industry leader and gold class distinction by RebocoSAM in 2014, signifying that CSC’s accomplishments in R&D, innovation, production, maintenance, and corporate social responsibility have long been acknowledged by the domestic and oversea industries and the public. In order to enhance its operational synergy, CSC has diversified its businesses. Presently CSC and its 26 subsidiaries constitute the “CSC Group” in five business areas: steel, engineering and construction, industrial materials, logistics, and services & investments. The CSC Group, positioning its status toward “A group, which deems environmental protection and energy saving important, bases its headquarters in Taiwan, centers its development in Asia, and focuses on the business scope of steels and materials, engineering and services, and minerals and resources.” is proactively making efforts to become a resource-saving and eco-friendly group of global distinction.",,,,,"Manufacturing, Natural Resources",,,IPO,,,,,,,,,,,,,,,,,,,
Daido Steel,https://www.crunchbase.com/organization/daido-steel,,"Electrical Distribution, Industrial Manufacturing, Manufacturing","Nagoya, Aichi, Japan",Daido Steel is a steel manufacturing company,"2,899,356",Asia-Pacific (APAC),Active,1950-02-01,day,1951-06-05,day,,,For Profit,http://www.daido.co.jp/,"Daido Steel is a steel production company. Their products include structural steel, tool steel, mold material, strip steel, die forgings, welding material, stainless steel, Sokeizai products, and alloy powder.",,,,,"Energy, Manufacturing",Momosuke Fukuzawa,,IPO,,,,,,,,,,,,,,,,,,,
Inner Mongolia Xingye Silver&Tin Mining,https://www.crunchbase.com/organization/inner-mongolia-xingye-silver-tin-mining,,"Mining, Precious Metals, Sustainability","Chifeng, Nei Mongol, China",Inner Mongolia Xingye Silver&Tin Mining is a mining company that provides non-ferrous and ore processing services.,"2,956,298",Asia-Pacific (APAC),Active,1991-01-01,year,,,,,For Profit,http://www.xyyxmining.com,,,,,,"Natural Resources, Sustainability",,,,,,,,,,,,,,,,,,,,,,
VABO Composites,https://www.crunchbase.com/organization/vabo-composites,,"Manufacturing, Marine Technology, Mechanical Engineering","Emmeloord, Flevoland, The Netherlands","VABO Composites manufactures composite ship doors, hatches, and superstructures for maritime solutions.","3,060,413","European Union (EU), Europe, Middle East, and Africa (EMEA)",Active,2001-01-01,year,,,,,For Profit,https://vabocomposites.com,"VABO Composites specializes in manufacturing composite ship doors, hatches, and superstructures. The company focuses on providing maritime solutions, including custom composite projects for yachts. VABO Composites is involved in engineering and producing composite solutions suitable for series production. The company also offers a 'carefree refit' service for yachts, ensuring efficient and stress-free refit solutions. VABO Composites has a presence at industry shows and events, showcasing their expertise in composite technology.",,,,,"Manufacturing, Science and Engineering",,,,,,,,,,,,,,,,,,,,,,
NeoPerformance,https://www.crunchbase.com/organization/neoperformance,,,"Rio, Rio de Janeiro, Brazil",NeoPerformance provide Marketing Services.,"3,108,632",Latin America,Active,2011-01-01,year,,,,,For Profit,https://neoperformance.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MB Pharma,https://www.crunchbase.com/organization/mb-pharma,,"Biotechnology, Medical, Pharmaceutical","Prague, Hlavni mesto Praha, Czech Republic","MB Pharma develops microbiology, biotechnology, and pharmaceutical products, specializing in bacteriophages and bacterial enzymes.","3,122,276","European Union (EU), Europe, Middle East, and Africa (EMEA)",Active,,,,,,,For Profit,https://www.mbph.cz,,,,,,"Biotechnology, Health Care, Science and Engineering",,,,,,,,,,,,,,,,,,,,,,
Tecnobit,https://www.crunchbase.com/organization/tecnobit-5639,,"Information Services, Software","Vicenza, Veneto, Italy","Tecnobit is a software that offers applications and services on 2D, CAD, 3D modelling, interior design, architects and engineers.","3,135,969","European Union (EU), Europe, Middle East, and Africa (EMEA)",Active,,,,,,,For Profit,https://www.tecnobit.shop/,,,,,,"Information Technology, Software",,,,,,,,,,,,,,,,,,,,,,
China Tungsten and Hightech Materials,https://www.crunchbase.com/organization/china-tungsten-and-hightech-materials,,"Advanced Materials, Manufacturing, Precious Metals","Zhuzhou, Hunan, China",China Tungsten and Hightech Materials manufactures and sells non-ferrous products.,"3,203,171",Asia-Pacific (APAC),Active,1993-03-18,day,1996-12-05,day,,,For Profit,https://www.minmetalstungsten.com/,"China Tungsten and Hightech Materials is the platform for tungsten industry management and operation used by Minmetals. It integrates mining, smelting, processing, and commerce in one tungsten industry chain.",,,,,"Manufacturing, Natural Resources, Science and Engineering",,,IPO,,,,,,,,,,,,,,,,,,,
Western Superconducting Technologies,https://www.crunchbase.com/organization/western-superconducting-technologies-co-ltd,,"Advanced Materials, Manufacturing, Semiconductor","Xian, Hunan, China",Western Superconducting Technologies is a manufacturer that manufactures and distributes advanced materials.,"3,248,099",Asia-Pacific (APAC),Active,2003-01-01,year,2019-07-22,day,,,For Profit,http://www.c-wst.com,"Western Superconducting Technologies manufactures and distributes advanced materials like high end titanium alloy materials, high performance super alloy materials, tantalum materials, superconducting materials, and other related products.  Western Superconducting Technologies also operates import and export businesses.",,,,,"Hardware, Manufacturing, Science and Engineering",,1,IPO,2015-09-01,,,,Venture - Series Unknown,,,,Venture - Series Unknown,,,,,,,Zhonghe Capital,,,1
Yieh Phui Enterprise,https://www.crunchbase.com/organization/yieh-phui-enterprise,,"Building Material, Manufacturing, Precious Metals","Kaohsiung, T'ai-wan, Taiwan",Yieh Phui Enterprise manufactures and markets coated steel products.,"3,312,518",Asia-Pacific (APAC),Active,1978-04-14,day,1995-07-28,day,,,For Profit,http://www.yiehphui.com.tw/,"Yieh Phui Enterprise a variety of hot-dip galvanized and painted steel coils are produced. It specialised in transportation equipment and steel construction. Pickling steel coils, cold-rolled full-hard steel coils, color-coated steel coils, steel structures, and other items are among the many that they offer.",,,,,"Manufacturing, Natural Resources, Real Estate",Yi Lin,,IPO,,,,,,,,,,,,,,,,,,,
Rosenbauer,https://www.crunchbase.com/organization/rosenbauer,,"Advice, Computer, Consulting, Hardware, Information Technology","Anhausen, Rheinland-Pfalz, Germany",Rosenbauer an IT service provider and security consultant.,"3,482,053","European Union (EU), Europe, Middle East, and Africa (EMEA)",Active,,,,,,,For Profit,https://www.it-rosenbauer.de,"Rosenbauer is a security consultant and a provider of IT services. They maintain reliable support systems. They offer digital transformation, IT infrastructure, IT security, burglary protection, intrusion detection technology, physical security technology, and training.",,,,,"Consumer Electronics, Hardware, Information Technology, Media and Entertainment, Professional Services",,,,,,,,,,,,,,,,,,,,,,
Aichi Steel,https://www.crunchbase.com/organization/aichi-steel,,"Industrial Engineering, Industrial Manufacturing, Machinery Manufacturing, Manufacturing, Product Design","Tokai, Tokyo, Japan","Aichi Steel manufactures and sells steel, forged products, and electro-magnetic products.","3,482,127",Asia-Pacific (APAC),Active,1940-03-08,day,1961-09-06,day,,,For Profit,https://www.aichi-steel.co.jp/,"Aichi Steel manufactures and sells steel, forged products, and electro-magnetic products. It operates through four segments. The steel segment manufactures and sells specialty steel, stainless steel, and titanium. The forged product segment produces a wide variety of forgings. The electromagnetic products segment manufactures electromagnetic components. The steel and forged products segments are the two biggest segments, representing the majority of Aichi Steel's sales. Aichi Steel is a member of Toyota Group. Toyota Motor and Toyota Tsusho are its major customers. It generates most of its revenue from the Japanese domestic market.",,,,,"Design, Manufacturing, Science and Engineering",,,IPO,,,,,,,,,,,,,,,,,,,
Watchbird,https://www.crunchbase.com/organization/watchbird,,"Manufacturing, Medical, Medical Device","Oslo, Oslo, Norway","Watchbird AS develops medical technology for respiratory protection and CBRN sensor systems for military, police, and first responders.","3,492,248","Nordic Countries, Scandinavia, Europe, Middle East, and Africa (EMEA)",Active,2022-01-01,year,,,,,For Profit,https://www.watchbird.no,"Watchbird AS develops medical technology solutions that focus on respiratory protection and early detection of airborne health hazards in operational environments. The company offers SAFEgaiter, a reusable low‑burden neck gaiter with integrated particle filtration for military, law enforcement, special operators, firefighters and other professional users. Watchbird also designs CBRN mini multi‑sensor concepts for real‑time detection, identification, monitoring and communication of chemical, biological, radiological and nuclear threats. Its R&D is conducted with defence research institutions, universities, authorities and operational end users.",,,,,"Health Care, Manufacturing",,,,,,,,,,,,,,,,,,,,,,
Solico Engineering,https://www.crunchbase.com/organization/solico-engineering,,"Industrial Engineering, Manufacturing, Test and Measurement","Oosterhout, Noord-Brabant, The Netherlands","Solico Engineering designs and engineers composite structures for maritime, automotive, infrastructure, and other sectors.","3,526,805","European Union (EU), Europe, Middle East, and Africa (EMEA)",Active,1990-01-01,year,,,,,For Profit,https://www.solico.nl,,,,,,"Data and Analytics, Manufacturing, Science and Engineering",Hans Muller,,,,,,,,,,,,,,,,,,,,,
Yamato Kogyo,https://www.crunchbase.com/organization/yamato-kogyo,,"Industrial, Manufacturing","Himeji, Hyogo, Japan",Yamato Kogyo is a steel company.,"3,580,381",Asia-Pacific (APAC),Active,1944-11-08,day,1961-10-02,day,,,For Profit,http://www.yamatokogyo.co.jp/,"Yamato Kogyo is a manufacturer and seller of shaped steel. Their products include H-shape steel, channel steel, I-shape steel, steel sheet piles, and shaped steel. They serve to construct roads, bridges, buildings, ships, and automobiles.",,,,,Manufacturing,Asaji Inoue,,IPO,,,,,,,,,,,,,,,,,,,
Tung Ho Steel Enterprise,https://www.crunchbase.com/organization/tung-ho-steel-enterprise,,"Building Material, Manufacturing, Precious Metals","Taipei, T'ai-pei, Taiwan","Tung Ho Steel Enterprise produces and sells steel bars, flat irons, and angle irons products.","3,609,172",Asia-Pacific (APAC),Active,1946-01-01,day,1988-07-13,day,,,For Profit,https://www.tunghosteel.com/,"Tung Ho Steel Enterprise steel bars, flat irons, angle irons, disc elements, and other steel products are produced, processed, and sold. Section steel, alloy steel, tool steel, high carbon steel, and other special steel manufacturing, processing, and sales dismantling ships, trading used ships, etc.",,,,,"Manufacturing, Natural Resources, Real Estate",C.T. Ho,,IPO,,,,,,,,,,,,,,,,,,,
